# Time (s)	Position (m)	Velocity (ms^-1)	kinetic_energy (J)
0.000	-7.530E-2	0.0	0.0
0.010	-7.119E-2	0.445	2.085E-2
0.020	-6.640E-2	0.479	2.402E-2
0.030	-6.161E-2	0.479	2.308E-2
0.040	-5.682E-2	0.479	2.296E-2
0.050	-5.203E-2	0.479	2.308E-2
0.060	-4.723E-2	0.582	3.432E-2
0.070	-4.039E-2	0.753	5.775E-2
0.080	-3.217E-2	0.787	6.244E-2
0.090	-2.464E-2	0.650	4.241E-2
0.100	-1.917E-2	0.685	4.698E-2
0.110	-1.095E-2	0.890	7.931E-2
0.120	-1.369E-3	0.787	6.197E-2
0.130	4.792E-3	0.650	4.229E-2
0.140	1.164E-2	0.719	5.178E-2
0.150	1.917E-2	0.821	6.795E-2
0.160	2.807E-2	0.719	5.272E-2
0.170	3.354E-2	0.479	2.343E-2
0.180	3.765E-2	0.548	2.999E-2
0.190	4.450E-2	0.582	3.386E-2
0.200	4.929E-2	0.548	2.999E-2
0.210	5.545E-2	0.513	2.636E-2
0.220	5.956E-2	0.513	2.683E-2
0.230	6.572E-2	0.308	9.958E-3
0.240	6.572E-2	0.103	1.054E-3
0.250	6.777E-2	0.274	7.498E-3
0.260	7.119E-2	0.240	5.740E-3
0.270	7.256E-2	3.423E-2	1.171E-4
0.280	7.188E-2	-0.103	1.054E-3
0.290	7.051E-2	-0.103	1.054E-3
0.300	6.982E-2	-0.274	7.966E-3
0.310	6.503E-2	-0.376	1.464E-2
0.320	6.229E-2	-0.376	1.429E-2
0.330	5.750E-2	-0.479	2.308E-2
0.340	5.271E-2	-0.445	1.980E-2
0.350	4.860E-2	-0.548	2.999E-2
0.360	4.176E-2	-0.616	3.807E-2
0.370	3.628E-2	-0.582	3.397E-2
0.380	3.012E-2	-0.787	6.197E-2
0.390	2.054E-2	-0.753	5.682E-2
0.400	1.506E-2	-0.650	4.276E-2
0.410	7.530E-3	-0.787	6.244E-2
0.420	-6.845E-4	-0.821	6.760E-2
0.430	-8.899E-3	-0.753	5.682E-2
0.440	-1.574E-2	-0.650	4.241E-2
0.450	-2.191E-2	-0.753	5.682E-2
0.460	-3.080E-2	-0.787	6.303E-2
0.470	-3.765E-2	-0.787	6.209E-2
0.480	-4.655E-2	-0.719	5.166E-2
0.490	-5.203E-2	-0.513	2.648E-2
0.500	-5.682E-2	-0.479	2.343E-2
0.510	-6.161E-2	-0.548	3.046E-2
0.520	-6.777E-2	-0.513	2.648E-2
0.530	-7.188E-2	-0.376	1.429E-2
0.540	-7.530E-2	-0.308	9.489E-3
0.550	-7.804E-2	-0.205	4.217E-3
0.560	-7.941E-2	-0.103	1.523E-3
0.570	-8.009E-2	-6.845E-2	9.372E-4
0.580	-8.078E-2	-3.423E-2	1.171E-4
0.590	-8.078E-2	0.137	2.929E-3
0.600	-7.804E-2	0.171	3.983E-3
0.610	-7.735E-2	0.240	5.740E-3
0.620	-7.325E-2	0.342	1.183E-2
0.630	-7.051E-2	0.205	4.335E-3
0.640	-6.914E-2	0.445	2.167E-2
0.650	-6.161E-2	0.582	3.491E-2
0.660	-5.750E-2	0.582	3.432E-2
0.670	-4.997E-2	0.582	3.397E-2
0.680	-4.586E-2	0.582	3.397E-2
0.690	-3.833E-2	0.650	4.241E-2
0.700	-3.286E-2	0.753	5.682E-2
0.710	-2.327E-2	0.821	6.760E-2
0.720	-1.643E-2	0.753	5.670E-2
0.730	-8.215E-3	0.685	4.686E-2
0.740	-2.738E-3	0.719	5.166E-2
0.750	6.161E-3	0.821	6.760E-2
0.760	1.369E-2	0.719	5.178E-2
0.770	2.054E-2	0.753	5.682E-2
0.780	2.875E-2	0.753	5.682E-2
0.790	3.560E-2	0.548	2.999E-2
0.800	3.970E-2	0.548	2.999E-2
0.810	4.655E-2	0.582	3.432E-2
0.820	5.134E-2	0.411	1.734E-2
0.830	5.476E-2	0.445	1.980E-2
0.840	6.024E-2	0.445	1.980E-2
0.850	6.366E-2	0.342	1.171E-2
0.860	6.709E-2	0.240	5.740E-3
0.870	6.845E-2	0.103	1.171E-3
0.880	6.914E-2	0.103	1.171E-3
0.890	7.051E-2	3.423E-2	5.857E-4
0.900	6.982E-2	-0.137	2.929E-3
0.910	6.777E-2	-0.205	4.335E-3
0.920	6.572E-2	-0.171	2.929E-3
0.930	6.435E-2	-0.240	5.740E-3
0.940	6.092E-2	-0.342	1.218E-2
0.950	5.750E-2	-0.445	2.027E-2
0.960	5.203E-2	-0.582	3.397E-2
0.970	4.586E-2	-0.616	3.796E-2
0.980	3.970E-2	-0.616	3.843E-2
0.990	3.354E-2	-0.582	3.397E-2
1.000	2.807E-2	-0.616	3.807E-2
1.010	2.122E-2	-0.890	7.931E-2
1.020	1.027E-2	-0.787	6.197E-2
